,n,error,N,physical_qubits,runtime_per_shot[ns],runtime_tomography[ns],total_runtime[s],power[W],Energy[J]
0,2,0.17034195,5030.388571606782,34450.0,280000.0,840000.0,4.225526400149697,1033.5,4367.081534554712
1,3,0.1103316,15546.555526853252,67816.0,848400.0,2545200.0,39.569093126946896,2034.48,80502.52858491092
2,4,0.11815591,37963.110270826255,87710.0,1134000.0,3402000.0,129.15050114135093,2631.2999999999997,339833.7136532367
3,5,0.13810275,81476.42095029494,103684.0,1542800.0,4628400.0,377.1054667263451,3110.52,1172994.096361631
4,6,0.12158591,161155.2900968439,119560.0,1881600.0,5644800.0,909.6893815386645,3586.7999999999997,3262873.873702882
5,7,0.12377956,301292.4690408079,217566.0,2876400.0,8629200.0,2599.9129738469396,6526.98,16969579.982039496
6,8,0.11427201,540533.1096161613,243810.0,3355200.0,10065600.0,5440.790068152433,7314.3,39795570.795487344
7,9,0.11604114,939674.576677323,270216.0,4093200.0,12279600.0,11538.827931766855,8106.48,93539277.85230936
8,10,0.11718838,1593465.2209025049,289980.0,4640400.0,13921200.0,22182.948033227953,8699.4,192978338.12026325
9,15,0.09727041,17529751.572217062,376164.0,7700400.0,23101200.0,404958.29702010076,11284.92,4569921985.208076
10,20,0.08382882,152371551.2378705,690668.0,14440800.0,43322400.0,6601101.291347522,20720.04,136775082800.77232
11,30,0.06226135,8195731380.685867,899514.0,26466000.0,79398000.0,650724680.1636965,26985.42,17560078798583.018
12,40,0.04624276,348310444606.3659,1453062.0,47866000.0,143598000.0,50016683224.58494,43591.86,2180320252790455.2
13,50,0.03434543,13010315619076.271,1663298.0,69409600.0,208228800.0,2709122408981.5093,49898.939999999995,1.3518233653842378e+17
14,60,0.02550905,447869649684638.94,3000334.0,94801200.0,284403600.0,127375740701050.19,90010.01999999999,1.146509296801634e+19
15,70,0.01894608,1.4572917993273156e+16,2792250.0,140166000.0,420498000.0,6127882870335376.0,83767.5,5.1331742834081864e+20
16,80,0.01407164,4.5502129656101037e+17,3234150.0,174546000.0,523638000.0,2.3826644168861437e+17,97024.5,2.3117682371616964e+22
17,90,0.01045129,1.3766960843117367e+19,3495600.0,216324000.0,648972000.0,8.934372112279565e+18,104868.0,9.369297346705334e+23
18,100,0.00776238,4.063070583647066e+20,3228940.0,292767200.0,878301600.0,3.568601394530152e+20,96868.2,3.4568399360562564e+25
