n,error_budget,physical_qubits,physical_qubits_STD,runtime,runtime_STD
2.0,0.293207,34450.0,0.0,234000.0,0.0
3.0,0.195591,25176.0,0.0,652400.0,0.0
4.0,0.184199,87710.0,0.0,952000.0,0.0
5.0,0.187274,99764.0,0.0,1209600.0,0.0
6.0,0.147248,115640.0,0.0,1587600.0,0.0
7.0,0.139029,105646.0,0.0,2430000.0,0.0
8.0,0.123056,237330.0,0.0,2836800.0,0.0
9.0,0.121215,257256.0,0.0,3261600.0,0.0
10.0,0.120421,283500.0,0.0,3927600.0,0.0
15.0,0.108276,369684.0,0.0,6519600.0,0.0
20.0,0.101058,382428.0,0.0,12223200.0,0.0
30.0,0.088464,860794.0,0.0,21573200.0,0.0
40.0,0.077463,1020998.0,0.0,34188000.0,0.0
50.0,0.067831,1582178.0,0.0,56966000.0,0.0
60.0,0.059396,1765374.0,0.0,78010400.0,0.0
70.0,0.052017,1880970.0,0.0,100084400.0,0.0
80.0,0.045352,1969526.0,0.0,124758400.0,0.0
